iter	Passed	Remaining
904	2700	283
905	2705	280
906	2713	278
907	2718	275
908	2722	272
909	2724	269
910	2726	266
911	2729	263
912	2732	260
913	2736	257
914	2739	254
915	2742	251
916	2744	248
917	2746	245
918	2750	242
919	2754	239
920	2756	236
921	2759	233
922	2762	230
923	2765	227
924	2769	224
925	2773	221
926	2777	218
927	2780	215
928	2784	212
929	2788	209
930	2790	206
931	2792	203
932	2796	200
933	2800	197
934	2803	194
935	2805	191
936	2808	188
937	2810	185
938	2814	182
939	2818	179
940	2820	176
941	2822	173
942	2825	170
943	2828	167
944	2832	164
945	2835	161
946	2837	158
947	2840	155
948	2843	152
949	2846	149
950	2850	146
951	2853	143
952	2856	140
953	2858	137
954	2865	135
955	2867	131
956	2870	128
957	2873	125
958	2877	123
959	2881	120
960	2884	117
961	2887	114
962	2889	111
963	2896	108
964	2899	105
965	2902	102
966	2908	99
967	2912	96
968	2915	93
969	2917	90
970	2922	87
971	2926	84
972	2929	81
973	2932	78
974	2934	75
975	2939	72
976	2944	69
977	2946	66
978	2948	63
979	2953	60
980	2956	57
981	2960	54
982	2962	51
983	2964	48
984	2968	45
985	2971	42
986	2977	39
987	2980	36
988	2982	33
989	2987	30
990	2994	27
991	2996	24
992	2998	21
993	3003	18
994	3008	15
995	3011	12
996	3014	9
997	3020	6
998	3024	3
999	3027	0
